Comprehensive scanning started for albert at 2026-02-05 15:43:37.967472
Timestamp | Pos(X,Y) | Size(W,H) | Pose(R,Y,P) | Actions
15:43:37.968 | (252,148)  | (161x161)  | R:+2.7 Y:+11.6 P:+11.6    | 
15:43:38.257 | (248,144)  | (160x160)  | R:+2.1 Y:+12.6 P:+16.6    | 
15:43:38.523 | (255,144)  | (153x153)  | R:+1.8 Y:+11.3 P:+16.2    | 
15:43:38.788 | (256,143)  | (153x153)  | R:+2.0 Y:+11.3 P:+23.5    | 
15:43:39.321 | (255,145)  | (151x151)  | R:+1.5 Y:+12.1 P:+16.5    | 
15:43:39.708 | (254,142)  | (153x153)  | R:+2.2 Y:+10.2 P:+21.4    | 
15:43:40.081 | (257,146)  | (149x149)  | R:+2.8 Y:+10.3 P:+21.0    | 
15:43:40.373 | (258,143)  | (151x151)  | R:+2.0 Y:+10.0 P:+26.3    | 
15:43:40.633 | (256,142)  | (153x153)  | R:+2.4 Y:+11.5 P:+27.5    | 
15:43:40.923 | (260,145)  | (149x149)  | R:+2.1 Y:+10.5 P:+25.0    | 
15:43:41.203 | (261,147)  | (150x150)  | R:+1.8 Y:+8.8 P:+21.1     | 
15:43:41.464 | (262,151)  | (146x146)  | R:+2.1 Y:+7.8 P:+20.3     | 
15:43:41.768 | (259,154)  | (148x148)  | R:+2.2 Y:+5.2 P:+16.0     | 
15:43:42.012 | (252,151)  | (154x154)  | R:+2.0 Y:+6.8 P:+13.3     | 
15:43:42.344 | (258,154)  | (146x146)  | R:+1.2 Y:+5.1 P:+14.2     | 
15:43:42.600 | (259,156)  | (145x145)  | R:+1.5 Y:+6.7 P:+17.0     | 
15:43:42.849 | (256,154)  | (147x147)  | R:+1.8 Y:+7.7 P:+16.3     | 
15:43:43.176 | (262,156)  | (144x144)  | R:+2.2 Y:+4.0 P:+15.5     | 
15:43:43.646 | (265,160)  | (141x141)  | R:+2.2 Y:+4.6 P:+16.1     | 
15:43:43.920 | (265,163)  | (139x139)  | R:+2.6 Y:+4.0 P:+15.4     | 
15:43:44.177 | (264,160)  | (142x142)  | R:+2.4 Y:+3.9 P:+15.9     | 
15:43:45.158 | (255,149)  | (153x153)  | R:+1.8 Y:+5.4 P:+14.5     | 
15:43:45.830 | (261,162)  | (150x150)  | R:+2.3 Y:+5.2 P:+11.4     | 
