Comprehensive scanning started for albert at 2026-02-05 13:52:47.278648
Timestamp | Pos(X,Y) | Size(W,H) | Pose(R,Y,P) | Actions
13:52:47.279 | (347,33)   | (234x234)  | R:-5.5 Y:-13.7 P:+40.3    | 
13:52:47.548 | (340,52)   | (226x226)  | R:-6.2 Y:-8.5 P:+32.8     | 
13:52:47.815 | (339,49)   | (224x224)  | R:-6.1 Y:-9.0 P:+28.7     | 
13:52:48.093 | (345,58)   | (219x219)  | R:-5.5 Y:-9.3 P:+31.0     | 
13:52:48.380 | (349,56)   | (219x219)  | R:-4.9 Y:-10.0 P:+29.4    | 
13:52:48.638 | (352,53)   | (223x223)  | R:-5.0 Y:-8.3 P:+30.5     | 
13:52:48.893 | (350,55)   | (230x230)  | R:-5.2 Y:-8.6 P:+31.1     | 
13:52:49.169 | (347,64)   | (219x219)  | R:-6.4 Y:-7.7 P:+28.3     | 
13:52:49.419 | (342,65)   | (219x219)  | R:-7.4 Y:+1.5 P:+31.0     | 
13:52:49.692 | (340,63)   | (216x216)  | R:-8.0 Y:+6.9 P:+27.7     | 
13:52:49.950 | (338,64)   | (224x224)  | R:-8.5 Y:+4.7 P:+28.6     | 
13:52:50.223 | (338,59)   | (230x230)  | R:-8.2 Y:+6.8 P:+29.3     | 
13:52:50.658 | (341,64)   | (228x228)  | R:-6.9 Y:+3.5 P:+28.7     | 
13:52:50.988 | (332,71)   | (216x216)  | R:-8.5 Y:+4.3 P:+26.7     | 
13:52:51.238 | (294,64)   | (233x233)  | R:-8.8 Y:+7.2 P:+26.4     | 
13:52:51.482 | (277,65)   | (229x229)  | R:-9.5 Y:+6.0 P:+27.3     | 
13:52:51.770 | (256,66)   | (226x226)  | R:-9.5 Y:+7.0 P:+27.8     | 
13:52:52.072 | (232,66)   | (229x229)  | R:-10.3 Y:+8.8 P:+26.7    | 
13:52:52.345 | (181,53)   | (245x245)  | R:-10.6 Y:+11.9 P:+29.3   | 
13:52:52.590 | (174,55)   | (233x233)  | R:-9.0 Y:+12.4 P:+28.2    | 
13:52:52.926 | (137,51)   | (246x246)  | R:-9.8 Y:+13.9 P:+30.8    | 
13:52:53.173 | (116,60)   | (239x239)  | R:-11.1 Y:+15.9 P:+29.4   | 
13:52:53.471 | (118,58)   | (244x244)  | R:-10.9 Y:+16.0 P:+32.6   | 
13:52:53.825 | (125,61)   | (237x237)  | R:-11.6 Y:+17.2 P:+30.8   | 
13:52:54.078 | (128,61)   | (235x235)  | R:-11.2 Y:+14.6 P:+30.6   | 
13:52:54.383 | (136,58)   | (246x246)  | R:-10.1 Y:+12.0 P:+29.8   | 
13:52:54.653 | (175,50)   | (240x240)  | R:-8.3 Y:+8.7 P:+30.6     | 
13:52:54.927 | (223,35)   | (257x257)  | R:-6.1 Y:+0.0 P:+31.9     | 
13:52:55.790 | (256,26)   | (265x265)  | R:-4.0 Y:-3.4 P:+35.6     | 
13:52:56.646 | (287,22)   | (250x250)  | R:-1.3 Y:-9.8 P:+35.0     | 
