Comprehensive scanning started for albert at 2026-02-05 15:44:08.601948
Timestamp | Pos(X,Y) | Size(W,H) | Pose(R,Y,P) | Actions
15:44:08.687 | (302,96)   | (167x167)  | R:+1.0 Y:+5.7 P:+17.1     | 
15:44:09.151 | (296,100)  | (172x172)  | R:+0.2 Y:+4.0 P:+21.7     | 
15:44:09.905 | (299,101)  | (176x176)  | R:+0.5 Y:+3.5 P:+20.6     | 
15:44:10.373 | (296,92)   | (178x178)  | R:+0.9 Y:+4.7 P:+24.3     | 
15:44:10.969 | (296,89)   | (176x176)  | R:+0.2 Y:+6.1 P:+28.9     | 
15:44:11.272 | (295,90)   | (170x170)  | R:-0.3 Y:+6.0 P:+28.5     | 
15:44:11.576 | (297,88)   | (178x178)  | R:+0.1 Y:+4.8 P:+28.2     | 
15:44:11.883 | (300,86)   | (178x178)  | R:+0.4 Y:+5.3 P:+30.8     | 
15:44:12.152 | (305,90)   | (164x164)  | R:+0.6 Y:+5.7 P:+28.0     | 
15:44:12.418 | (304,93)   | (162x162)  | R:+0.3 Y:+6.7 P:+28.6     | 
15:44:12.751 | (302,89)   | (166x166)  | R:+0.2 Y:+7.0 P:+31.9     | 
15:44:13.023 | (298,91)   | (170x170)  | R:+0.2 Y:+5.6 P:+29.3     | 
15:44:13.263 | (300,91)   | (167x167)  | R:+0.1 Y:+7.8 P:+29.5     | 
15:44:13.519 | (302,87)   | (170x170)  | R:+0.8 Y:+6.0 P:+33.2     | 
15:44:14.097 | (298,87)   | (172x172)  | R:+0.7 Y:+5.3 P:+31.6     | 
15:44:14.346 | (299,85)   | (173x173)  | R:+1.4 Y:+5.7 P:+32.0     | 
15:44:14.614 | (300,84)   | (170x170)  | R:+0.4 Y:+4.8 P:+31.6     | 
15:44:14.888 | (298,87)   | (168x168)  | R:+0.4 Y:+6.2 P:+31.5     | 
15:44:15.164 | (297,89)   | (167x167)  | R:+0.2 Y:+5.9 P:+30.9     | 
15:44:15.480 | (300,88)   | (162x162)  | R:+0.2 Y:+7.1 P:+28.7     | 
15:44:15.760 | (299,88)   | (163x163)  | R:+0.2 Y:+7.4 P:+31.5     | 
15:44:16.005 | (296,84)   | (170x170)  | R:+0.4 Y:+4.2 P:+30.1     | 
15:44:16.268 | (299,91)   | (164x164)  | R:+0.5 Y:+3.2 P:+29.7     | 
15:44:16.531 | (304,93)   | (162x162)  | R:+0.6 Y:+2.4 P:+26.4     | 
15:44:16.785 | (304,93)   | (162x162)  | R:+0.9 Y:+2.6 P:+24.1     | 
15:44:17.060 | (302,89)   | (169x169)  | R:+0.6 Y:+2.7 P:+24.9     | 
15:44:17.320 | (305,96)   | (164x164)  | R:+1.0 Y:+0.6 P:+24.7     | 
15:44:17.573 | (302,101)  | (160x160)  | R:+0.7 Y:+2.5 P:+21.1     | 
15:44:17.848 | (305,103)  | (158x158)  | R:+0.3 Y:+1.7 P:+23.7     | 
15:44:18.089 | (306,108)  | (159x159)  | R:+1.0 Y:-0.7 P:+21.6     | 
15:44:18.331 | (308,102)  | (160x160)  | R:+0.9 Y:-2.0 P:+19.8     | 
15:44:18.621 | (305,98)   | (164x164)  | R:+0.2 Y:+0.5 P:+21.7     | 
15:44:18.933 | (309,97)   | (164x164)  | R:+1.5 Y:-1.0 P:+21.4     | 
15:44:19.174 | (309,98)   | (164x164)  | R:+1.6 Y:-0.7 P:+19.4     | 
15:44:19.436 | (304,104)  | (156x156)  | R:+0.5 Y:+1.6 P:+21.5     | 
15:44:20.117 | (297,111)  | (147x147)  | R:+0.2 Y:+5.0 P:+17.3     | 
15:44:20.696 | (302,100)  | (160x160)  | R:+1.4 Y:+2.6 P:+21.7     | 
15:44:21.068 | (307,98)   | (162x162)  | R:+1.2 Y:+1.2 P:+20.9     | 
15:44:21.329 | (307,94)   | (164x164)  | R:+1.5 Y:-0.0 P:+19.3     | 
15:44:21.584 | (306,93)   | (163x163)  | R:+1.3 Y:+0.7 P:+20.6     | 
15:44:21.830 | (305,95)   | (161x161)  | R:+1.4 Y:+0.5 P:+22.2     | 
15:44:22.125 | (305,100)  | (152x152)  | R:+1.3 Y:+2.3 P:+19.4     | 
15:44:22.359 | (301,93)   | (161x161)  | R:+1.3 Y:+5.2 P:+24.2     | 
15:44:22.956 | (297,89)   | (162x162)  | R:-0.2 Y:+4.9 P:+27.5     | 
15:44:23.205 | (299,94)   | (154x154)  | R:+0.4 Y:+5.2 P:+27.2     | 
15:44:23.466 | (302,98)   | (158x158)  | R:-0.8 Y:+2.0 P:+20.8     | 
